taxa.name	norm.count.estimate.1	norm.count.estimate.2	diff.pval	pval.adj	FC.log2
Alistipes_finegoldii_DSM_17242.fasta	0.010009	0.005052	0	0	-0.986256
Bacillus_anthracis_Sterne.fasta	0.024928	0.024932	0.49572	0.49788	0.000203
Bacillus_cereus_ATCC_10987.fasta	0.004953	0.008954	0	0	0.854303
Bacillus_cereus_E33L.fasta	0.009915	0.009882	0.44346	0.49788	-0.004823
Bacteroides_fragilis_638R.fasta	0.01023	0.150275	0	0	3.876731
Bacteroides_fragilis_NCTC_9343.fasta	0.014765	0.014562	0.36742	0.49788	-0.02
Bacteroides_thetaiotaomicron_VPI_5482.fasta	0.020013	0.010032	0	0	-0.996351
Bifidobacterium_adolescentis_ATCC_15703.fasta	0.008987	0.008997	0.4765	0.49788	0.001605
Bifidobacterium_bifidum_BGN4.fasta	0.006087	0.002078	0	0	-1.550341
Bifidobacterium_bifidum_PRL2010.fasta	0.019908	0.010923	0	0	-0.866051
Bifidobacterium_bifidum_S17.fasta	0.00696	0.029958	0	0	2.105662
Bifidobacterium_longum_BBMN68.fasta	0.007876	0.007747	0.4003	0.49788	-0.023834
Bifidobacterium_longum_DJO10A.fasta	0.020328	0.00339	0	0	-2.584001
Bifidobacterium_longum_infantis_157F.fasta	0.050223	0.050226	0.49536	0.49788	7.5e-05
Bifidobacterium_longum_infantis_ATCC_15697.fasta	0.010027	0.013921	0	0	0.473316
Bifidobacterium_longum_JCM_1217.fasta	0.029501	0.029608	0.42882	0.49788	0.005232
Clostridium_phytofermentans_ISDg.fasta	0.015005	0.014998	0.48508	0.49788	-0.000747
Clostridium_saccharolyticum_WM1.fasta	0.004998	0.079986	0	0	4.00038
Clostridium_SY8519.fasta	0.003978	0.003989	0.4607	0.49788	0.004031
Escherichia_coli_K_12_substr__DH10B.fasta	0.008096	0.03394	0	0	2.067746
Escherichia_coli_K_12_substr__MG1655.fasta	0.01085	0.01197	0.42486	0.49788	0.141822
Escherichia_coli_O7_K1_CE10.fasta	0.008997	0.012874	0	0	0.516833
Escherichia_coli_S88.fasta	0.005994	0.005964	0.4457	0.49788	-0.007213
Eubacterium_eligens_ATCC_27750.fasta	0.015001	0.014973	0.45308	0.49788	-0.002683
Eubacterium_rectale_ATCC_33656.fasta	0.007	0.012001	0	0	0.777774
Odoribacter_splanchnicus_DSM_20712.fasta	0.007004	0.007054	0.37546	0.49788	0.01013
Pantoea_ananatis_PA13.fasta	0.039979	0.039976	0.49788	0.49788	-0.000132
Roseburia_hominis_A2_183.fasta	0.014981	0.025977	0	0	0.794171
Shigella_dysenteriae_Sd197.fasta	0.021874	0.021577	0.17816	0.328189473684211	-0.019701
Shigella_flexneri_2a_301.fasta	0.017966	0.002186	0	0	-3.038895
Streptococcus_salivarius_57_I.fasta	0.099573	0.004566	0	0	-4.446602
Streptococcus_salivarius_CCHSS3.fasta	0.179229	0.179746	0.28036	0.49063	0.004152
Streptococcus_salivarius_JIM8777.fasta	0.119724	0.119746	0.48496	0.49788	0.000257
Streptococcus_suis_D9.fasta	0.032125	0.021846	0	0	-0.556343
Streptococcus_suis_ST3.fasta	0.130662	0.004188	0	0	-4.963269
